"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000134061",332.793851427401,4.61753815727088,0.66716615305981,5.42224472971215,5.88552283295824e-08,3.20546975384116e-05,"CD180"
"ENSG00000159618",328.118129998694,3.50141569096794,0.464196105467732,5.38870460459265,7.0967338353871e-08,3.72952038664948e-05,"ADGRG5"
"ENSG00000104814",1336.29447966696,3.47426605568809,0.459109334422795,5.38927412312102,7.07428311670558e-08,3.72952038664948e-05,"MAP4K1"
"ENSG00000069493",1293.27624181241,2.70661158246284,0.317167009443422,5.38079791292819,7.41564057291249e-08,3.82992264416541e-05,"CLEC2D"
"ENSG00000178999",113.127312136813,3.72042603928807,0.506006945596789,5.37626224888983,7.60480032616809e-08,3.86104735204008e-05,"AURKB"
"ENSG00000125245",124.816591912182,3.88301255330504,0.536579317148717,5.37294759817586,7.74598451872331e-08,3.86718277097261e-05,"GPR18"
"ENSG00000257221",13.1120283655057,5.51339232423678,0.843954811639322,5.34790756802468,8.89768825624706e-08,4.36934838878493e-05,"MIR4496"
"ENSG00000162739",1041.67428391766,3.86566002457281,0.536198869570377,5.34439773599092,9.07181747182319e-08,4.38300471562038e-05,"SLAMF6"
"ENSG00000168421",636.464917032529,3.88486278319407,0.540635885500823,5.33605493190977,9.49906345759237e-08,4.51657850590761e-05,"RHOH"
"ENSG00000137078",231.645695392835,3.86114434212518,0.536497286538116,5.33300803921569,9.65990331723661e-08,4.52128756043473e-05,"SIT1"
"ENSG00000163518",33.6770074639076,6.48192092249097,1.03008440279509,5.32181722936104,1.02735764745861e-07,4.59320870591383e-05,"FCRL4"
"ENSG00000162894",1746.09674707112,3.80986825005239,0.527785847258104,5.32387949515871,1.01577211546008e-07,4.59320870591383e-05,"FCMR"
"ENSG00000137265",1215.73979017199,4.26977422114512,0.614374001839851,5.32212335052135,1.02562985213771e-07,4.59320870591383e-05,"IRF4"
