"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrezid"
"ENSG00000160505",19.6455798926315,6.77083308635782,1.23613914720372,4.6684332418499,3.03505363138451e-06,0.00186941093371497,"NLRP4",147945
"ENSG00000127561",84.1376547666366,2.8547297974491,0.398046627386682,4.65957922976529,3.1685641955288e-06,0.00191337787313138,"SYNGR3",9143
"ENSG00000169679",143.371811489817,2.98965639591826,0.429150708059483,4.63626497300915,3.54761145516965e-06,0.00210107288432423,"BUB1",699
"ENSG00000255354",96.0180020296466,3.99080247072394,0.646439965012404,4.62657421043972,3.71763698916978e-06,0.00216022766708418,"RP11-148O21.2",NA
"ENSG00000167895",4932.0981905959,3.2240933580433,0.481349753735515,4.62053494529336,3.82751865758658e-06,0.00218289059440174,"TMC8",147138
"ENSG00000162739",1041.67428391766,3.46749506253364,0.536014369792128,4.60341215010813,4.15624559927897e-06,0.00228571242358919,"SLAMF6",114836
"ENSG00000128218",192.300580034372,3.79798589820701,0.607333628528699,4.6069997885434,4.08520417116999e-06,0.00228571242358919,"VPREB3",29802
"ENSG00000174130",463.939350177818,3.04993914364968,0.446413615982196,4.5920175152799,4.38981515742679e-06,0.00233091616212539,"TLR6",10333
"ENSG00000126353",614.082187134422,3.07401428274911,0.451413928657626,4.59448446554723,4.3382044247022e-06,0.00233091616212539,"CCR7",1236
"ENSG00000254838",1636.20046119647,2.88129525056523,0.411018570162236,4.57715389799212,4.71344708868205e-06,0.00241933383316902,"GVINP1",387751
"ENSG00000205056",348.227278417119,4.67957204233888,0.803456945805721,4.57967544066588,4.65698017105824e-06,0.00241933383316902,"RP11-693J15.5",100507616
"ENSG00000083454",1218.00104051698,4.24758909980782,0.710298244692814,4.57214856445594,4.82748456280226e-06,0.00243724659148559,"P2RX5",5026
"ENSG00000136541",145.291033017719,3.46636181454947,0.540520481854125,4.56293868104536,5.04425506952039e-06,0.00250561166735515,"ERMN",57471
"ENSG00000009790",1588.58035586047,3.13535121082697,0.469632049732349,4.54686006213576,5.44521766026956e-06,0.00266184711560828,"TRAF3IP3",80342
"ENSG00000188404",1318.04869921744,3.21569890628273,0.487952777460691,4.5408060136746,5.60395757162501e-06,0.00266836561303813,"SELL",6402
"ENSG00000185811",1881.4606689262,2.96157930328797,0.432088803441687,4.53975962270611,5.63183962228395e-06,0.00266836561303813,"IKZF1",10320
"ENSG00000122188",275.997995546439,3.80061526193854,0.621097472920187,4.50913968265079,6.50910434168835e-06,0.00278417897793022,"LAX1",54900
"ENSG00000144354",229.215294869911,2.87953771792138,0.415134520120375,4.52753897068444,5.96745983994645e-06,0.00278417897793022,"CDCA7",83879
"ENSG00000164362",19.4940105169848,4.36151250350464,0.744833109842739,4.51310831793498,6.38843738708328e-06,0.00278417897793022,"TERT",7015
"ENSG00000065357",3908.98029017594,2.40478476246404,0.311337304213537,4.51209907535059,6.41891901378023e-06,0.00278417897793022,"DGKA",1606
"ENSG00000189238",39.2554494099814,3.58283487657357,0.571851170882134,4.51662077143132,6.28342870466651e-06,0.00278417897793022,"LINC00943",NA
"ENSG00000126787",69.1094835300397,3.51134736579772,0.556646940342196,4.51156232755701,6.43518675930861e-06,0.00278417897793022,"DLGAP5",9787
"ENSG00000234883",232.481465439791,2.93228770742492,0.427618454477659,4.5187191693708,6.22148500186368e-06,0.00278417897793022,"MIR155HG",406947
"ENSG00000241666",37.5786334184305,3.17770422508654,0.485497068980238,4.4855146698634,7.27381414406075e-06,0.00298682205592852,"RP3-455J7.4",NA
"ENSG00000186854",269.743094739992,2.9794727226431,0.441028136633621,4.48831391519022,7.17890924076236e-06,0.00298682205592852,"TRABD2A",105374836
"ENSG00000257345",4.95986141371707,5.04394078628132,0.901165965279599,4.48745396751267,7.20793793879354e-06,0.00298682205592852,"RP11-511B23.1",NA
"ENSG00000168421",636.464917032529,3.41971839618081,0.540270708753489,4.47871475720676,7.50937978334106e-06,0.00304297854194151,"RHOH",399
"ENSG00000244167",5.00992703943716,5.06750908454575,0.911478766463891,4.46253849700281,8.0994371311129e-06,0.00323945928995953,"RP4-733B9.1",NA
"ENSG00000205784",46.9115322541009,3.40747345918587,0.54083553580824,4.45139658877643,8.53136148105967e-06,0.00336846589143839,"ARRDC5",645432
"ENSG00000079263",655.169686964399,3.2970078559581,0.51682561763598,4.44445433348462,8.81152212399304e-06,0.00343504363104574,"SP140",11262
"ENSG00000259846",10.7459957856328,6.37590547252422,1.21255163951062,4.43354765055114,9.26950084565109e-06,0.00356841021929396,"RP11-467L24.1",NA
"ENSG00000118308",1271.89630422196,2.5966922798322,0.361445109853871,4.41752353622304,9.98382019166833e-06,0.00379594704250382,"LRMP",4033
"ENSG00000072858",388.399732646324,2.76452818707362,0.400767189092045,4.40287587182783,1.06825291705941e-05,0.00401207135203397,"SIDT1",54847
"ENSG00000042980",1182.27145265427,3.10739132895042,0.47945211800809,4.39541562086678,1.10561005775126e-05,0.00405350868435304,"ADAM28",10863
"ENSG00000137571",55.3683474910593,3.23862450887084,0.509194083866035,4.39640714572757,1.10057409277931e-05,0.00405350868435304,"SLCO5A1",81796
"ENSG00000143119",3340.17141142656,3.00905918468767,0.45909433363974,4.3761358776957,1.20801725738414e-05,0.00437685970301874,"CD53",963
"ENSG00000074966",426.161611656898,2.9562787447242,0.447367999183377,4.37286249417745,1.22627966668331e-05,0.00439136452265651,"TXK",7294
"ENSG00000179088",31.5582021040437,3.90015781734124,0.664937419942723,4.36155002013732,1.29144262890049e-05,0.00457155846462625,"C12orf42",374470
